entry_year,extraction_period,rule_version,source_field,entry_date_source_field,case_model,event_kind,status,rule_id,event_rows,case_count,money_mention_rows,total_amount_rows,unassigned_money_rows,unclassified_money_rows,dollar_token_missed_rows
2006,legacy_2000_2013,2.9.1,description,date_filed,civil_general,dismissal,operative,sfsc.strict_judgment_end_state.observed_entire_action_dismissal_filed,1737,1694,1,0,1,1,0
2006,legacy_2000_2013,2.9.1,description,date_filed,family_multi_order,family_support_order,operative,sfsc.strict_judgment_end_state.family_support_order,979,643,1,0,1,1,0
2006,legacy_2000_2013,2.9.1,description,date_filed,civil_general,summary_judgment,operative,sfsc.strict_judgment_end_state.summary_judgment_granted,833,326,5,4,1,1,0
2006,legacy_2000_2013,2.9.1,description,date_filed,civil_general,judgment_reference,reference,sfsc.strict_judgment_end_state.notice_of_entry,637,573,25,24,1,0,0
2006,legacy_2000_2013,2.9.1,description,date_filed,writ_or_mandate,writ_reference,reference,sfsc.strict_judgment_end_state.unresolved_end_state_mention,510,121,1,0,1,1,0
2006,legacy_2000_2013,2.9.1,description,date_filed,family_multi_order,family_order_reference,reference,sfsc.strict_judgment_end_state.family_support_modification_hearing_notice,473,329,1,0,1,1,0
2006,historical_pre_2000,2.9.1,description,date_filed,civil_general,judgment_reference,reference,sfsc.strict_judgment_end_state.proposed_disposition,287,16,1,0,1,0,0
2006,legacy_2000_2013,2.9.1,description,date_filed,unlawful_detainer,judgment_reference,reference,sfsc.strict_judgment_end_state.motion_or_brief,275,73,1,0,1,0,0
2006,historical_pre_2000,2.9.1,description,date_filed,civil_general,renewal_reference,reference,sfsc.strict_judgment_end_state.application_for_stipulated_judgment,257,235,1,0,1,0,0
2006,legacy_2000_2013,2.9.1,description,date_filed,criminal,unknown_end_state,reference,sfsc.strict_judgment_end_state.probation_motion_or_future_setting,185,141,1,0,1,1,0
2006,legacy_2000_2013,2.9.1,description,date_filed,small_claims,dismissal,operative,sfsc.strict_judgment_end_state.dismissal_entered,161,144,2,1,1,1,0
