event_year,case_model,extraction_period,source_field,amount_format_cohort,event_count
2003,criminal,legacy_2000_2013,docketEntryComment,no_amount_signal,73
2003,unlawful_detainer,historical_pre_2000,description,no_amount_signal,39
2003,civil_general,legacy_2000_2013,description,recognized_money_but_no_total,29
2003,small_claims,legacy_2000_2013,description,recognized_money_but_no_total,28
2003,probate,legacy_2000_2013,description,no_amount_signal,27
2003,unlawful_detainer,legacy_2000_2013,description,recognized_money_but_no_total,22
2003,writ_or_mandate,historical_pre_2000,description,no_amount_signal,21
2003,appellate_review,historical_pre_2000,description,no_amount_signal,11
2003,appellate_review,legacy_2000_2013,description,no_amount_signal,11
2003,family_domestic_violence,legacy_2000_2013,description,no_amount_signal,9
2003,criminal,historical_pre_2000,docketEntryComment,no_amount_signal,4
2003,probate,historical_pre_2000,description,no_amount_signal,4
2003,writ_or_mandate,legacy_2000_2013,description,recognized_money_but_no_total,4
2003,criminal,unknown_period,docketEntryComment,no_amount_signal,3
2003,civil_general,historical_pre_2000,description,recognized_money_but_no_total,2
2003,criminal,legacy_2000_2013,description,recognized_money_but_no_total,1
2003,probate,historical_pre_2000,description,recognized_money_but_no_total,1
2003,small_claims,historical_pre_2000,description,no_amount_signal,1
2004,civil_general,legacy_2000_2013,description,no_amount_signal,11104
2004,criminal,legacy_2000_2013,description,no_amount_signal,2603
2004,unlawful_detainer,legacy_2000_2013,description,no_amount_signal,2184
2004,small_claims,legacy_2000_2013,description,no_amount_signal,1803
2004,family_multi_order,legacy_2000_2013,description,no_amount_signal,541
2004,civil_general,historical_pre_2000,description,no_amount_signal,279
2004,writ_or_mandate,legacy_2000_2013,description,no_amount_signal,206
2004,small_claims,legacy_2000_2013,description,recognized_money_but_no_total,82
2004,criminal,unknown_period,description,no_amount_signal,75
2004,criminal,legacy_2000_2013,docketEntryComment,no_amount_signal,70
2004,family_multi_order,historical_pre_2000,description,no_amount_signal,70
2004,criminal,historical_pre_2000,description,no_amount_signal,61
2004,probate,legacy_2000_2013,description,no_amount_signal,33
2004,writ_or_mandate,historical_pre_2000,description,no_amount_signal,33
2004,civil_general,legacy_2000_2013,description,recognized_money_but_no_total,18
2004,writ_or_mandate,legacy_2000_2013,description,recognized_money_but_no_total,16
2004,unlawful_detainer,legacy_2000_2013,description,recognized_money_but_no_total,11
2004,appellate_review,legacy_2000_2013,description,no_amount_signal,9
2004,family_domestic_violence,legacy_2000_2013,description,no_amount_signal,6
2004,unlawful_detainer,historical_pre_2000,description,no_amount_signal,5
2004,writ_or_mandate,historical_pre_2000,description,recognized_money_but_no_total,5
2004,probate,historical_pre_2000,description,no_amount_signal,4
2004,civil_general,historical_pre_2000,description,recognized_money_but_no_total,2
2004,criminal,historical_pre_2000,docketEntryComment,no_amount_signal,2
2004,small_claims,historical_pre_2000,description,no_amount_signal,2
2004,appellate_review,historical_pre_2000,description,no_amount_signal,1
2004,criminal,legacy_2000_2013,description,recognized_money_but_no_total,1
